MID|MERCHANT_DBA_NAME|MSO|SOURCE_CODE|WILAYAH|CHANNEL|TAHUN|BULAN
201055282|BEARD AND MUSTACHE BARBER|A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|3
201055431|LANDON & MASON MBL       |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|4
201055449|MR. IN BARBERSHOP MBL    |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|3
201055506|TRISTAN TAILOR MBL       |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|3
201055514|SHADRINA KITCHEN MBL     |A32|B1X2MA327037265MOU|WMD|SUPPORT|2019|3
201055522|JAYA STICKER MBL         |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|3
201055555|LAKSAMANA GIFT MBL       |A32|B1X2MA007039053AK1|WMD|SUPPORT|2019|3
201055597|MIEL COFFEE BREWERS MBL  |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|3
201055605|EXCELLENT PARTNER GIS MBL|A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|4
201055613|SOUTHWEST MBL            |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|4
201055647|FREESENSE BEAUTY MBL     |A32|B1X2MA002016265AK1|WMD|SUPPORT|2019|4
201056181|KENJO COFFEE & ROASTERY M|A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|4
201056199|HIGH5 MBL                |A32|B1Y2MA007039006AK1|WMD|SUPPORT|2019|4
201056322|COFFEENESIA COFFEEHOUSE M|A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|4
201056470|ALMAANY SUP MBL          |A32|                  |WMD|SUPPORT|2019|4
201056744|BERKAH JAYA PLASTIK MBL  |A32|B1X2MA143139265MOU|WMD|SUPPORT|2019|4
201057098|BU UCI OLEH-OLEH PAKAIAN |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|4
201059003|JOYBEE MBL               |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|4
201059011|HANNAH MBL               |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|4
201059185|JOIN CELLULAR MBL        |A32|B1X2MA327037265MOU|WMD|SUPPORT|2019|5
201059193|ALBERTO CELLULAR MBL     |A32|B1X2MA327037265MOU|WMD|SUPPORT|2019|5
201059250|M3M PONSEL MBL           |A32|B1X2MA327037185MOU|WMD|SUPPORT|2019|5
201059425|SUN COLLECTION MBL       |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|4
201059482|E-TICKET PELINDO I       |   |                  |WMD|SUPPORT|2019|4
201059490|BATIK KERIS BKM MBL      |   |B1X1RR002742227000|WMD|SUPPORT|2019|5
201059805|UD HANNA MBL             |A32|B1X2MA327037193MOU|WMD|SUPPORT|2019|5
201170115|TOKO ASIA JAYA MBL       |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|5
201170610|UD MULIA MBL             |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|5
201170628|LUHUR OIL MBL            |A32|B1X2MA327037282MOU|WMD|SUPPORT|2019|5
201170883|JENNY SALON MBL          |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|5
201171204|TABITA SALON MBL         |A32|                  |WMD|SUPPORT|2019|5
201171493|DAPUR VINA MBL           |A32|                  |WMD|SUPPORT|2019|6
201172194|UD ROZA MBL              |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|5
201172202|UD ZAINAL MBL            |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|5
201172418|DEVI ULOS MBL            |A32|                  |WMD|SUPPORT|2019|5
201172558|MELATI GLITZ MBL         |A32|B1X2MA327037006MOU|WMD|SUPPORT|2019|5
201172715|TOKO AS MEDAN MBL        |A32|B1X2MA327037811MOU|WMD|SUPPORT|2019|5
201172996|TOKO JONI MBL            |A32|                  |WMD|SUPPORT|2019|5
201174414|ROSE SALON MBL           |A32|                  |WMD|SUPPORT|2019|6
201174422|ROSELLA FOODCOURT MBL    |A32|                  |WMD|SUPPORT|2019|6
201174448|SHE RESTO MBL            |A32|                  |WMD|SUPPORT|2019|6
201174885|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201174893|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201174901|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201174919|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201174927|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201174935|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201174943|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201174950|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201174968|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201174976|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201174984|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201174992|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175007|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175015|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175023|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175031|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175049|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175056|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175064|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175072|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175080|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175098|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175106|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175114|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175122|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175130|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175148|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175155|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175163|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175171|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175189|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175197|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175205|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175213|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175221|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175239|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175247|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175254|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175262|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175270|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175288|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175296|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175304|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175312|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175320|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175338|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175346|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175353|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175361|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175379|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175387|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175395|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175403|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175411|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175429|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175437|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175445|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175452|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175460|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175478|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175486|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175494|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175502|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175510|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175528|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175536|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175544|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175551|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175569|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175577|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175585|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175593|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
